Student,Observed1,Observed2,Observed3,Observed4,Observed5,Observed6,Observed7,Observed8,Inference1,Inference2,Inference3,Inference4
1,3,4,6,7,8,9,10,11,1,2,5,12,
2,1,2,4,6,9,10,11,12,3,5,7,8,
3,3,4,5,7,8,10,11,12,1,2,6,9,
4,2,4,5,6,7,9,11,12,1,3,8,10,
5,1,3,4,6,7,10,11,12,2,5,8,9,
6,2,3,5,7,9,10,11,12,1,4,6,8,
7,2,4,5,6,7,9,10,11,1,3,8,12,
8,1,2,3,7,9,10,11,12,4,5,6,8,
9,1,3,4,5,8,9,11,12,2,6,7,10,
10,4,5,6,7,8,10,11,12,1,2,3,9,
11,2,3,4,5,6,7,10,11,1,8,9,12,
12,1,2,3,4,6,9,10,11,5,7,8,12,
13,1,2,3,4,5,8,9,11,6,7,10,12,
14,2,3,6,7,9,10,11,12,1,4,5,8,
15,1,2,4,6,7,8,9,12,3,5,10,11,
16,3,4,5,6,7,9,10,11,1,2,8,12,
17,1,3,4,5,6,9,10,11,2,7,8,12,
18,1,2,4,6,7,9,10,12,3,5,8,11,
19,1,2,3,4,7,9,10,12,5,6,8,11,
20,2,4,5,6,7,9,10,11,1,3,8,12,
21,1,2,4,6,7,8,10,12,3,5,9,11,
22,1,4,5,6,9,10,11,12,2,3,7,8,
23,1,2,4,7,8,10,11,12,3,5,6,9,
24,1,2,3,4,5,6,7,11,8,9,10,12,
25,1,3,6,7,9,10,11,12,2,4,5,8,
26,1,2,5,6,7,9,10,11,3,4,8,12,
27,1,3,5,6,9,10,11,12,2,4,7,8,
28,3,4,5,8,9,10,11,12,1,2,6,7,
29,1,2,3,4,5,6,10,11,7,8,9,12,
30,1,3,6,7,8,9,11,12,2,4,5,10,
31,1,2,6,8,9,10,11,12,3,4,5,7,
32,2,3,4,5,6,7,9,12,1,8,10,11,
33,1,2,3,5,6,7,8,9,4,10,11,12,
34,2,3,5,6,7,9,10,11,1,4,8,12,
35,3,6,7,8,9,10,11,12,1,2,4,5,
36,1,2,4,6,7,9,11,12,3,5,8,10,
37,2,3,4,5,7,8,9,11,1,6,10,12,
38,1,3,5,7,8,9,10,12,2,4,6,11,
39,1,3,7,8,9,10,11,12,2,4,5,6,
40,1,2,5,6,7,8,9,10,3,4,11,12,
41,2,3,4,5,8,10,11,12,1,6,7,9,
42,2,3,4,6,8,10,11,12,1,5,7,9,
43,1,2,3,5,8,9,11,12,4,6,7,10,
44,1,3,4,6,7,8,10,12,2,5,9,11,
45,1,3,5,6,7,10,11,12,2,4,8,9,
46,1,3,5,6,7,9,10,11,2,4,8,12,
47,3,4,6,7,8,9,11,12,1,2,5,10,
48,1,2,5,7,8,10,11,12,3,4,6,9,
49,2,3,5,6,7,8,9,11,1,4,10,12,
50,3,4,6,7,8,9,11,12,1,2,5,10,
51,3,4,5,6,7,8,11,12,1,2,9,10,
52,1,2,3,6,9,10,11,12,4,5,7,8,
53,1,2,4,5,6,9,10,11,3,7,8,12,
54,2,4,5,6,7,8,9,12,1,3,10,11,
55,2,4,5,7,9,10,11,12,1,3,6,8,
56,1,2,4,5,6,7,9,10,3,8,11,12,
57,2,3,4,5,8,10,11,12,1,6,7,9,
58,2,4,5,8,9,10,11,12,1,3,6,7,
59,1,2,3,4,5,9,10,12,6,7,8,11,
60,1,2,4,5,7,9,10,11,3,6,8,12,
61,1,3,4,5,7,8,9,10,2,6,11,12,
62,2,3,4,5,7,9,11,12,1,6,8,10,
63,3,4,5,7,8,10,11,12,1,2,6,9,
64,1,4,6,7,8,9,10,11,2,3,5,12,
65,2,3,4,8,9,10,11,12,1,5,6,7,
66,2,5,6,7,8,9,10,12,1,3,4,11,
67,1,2,3,4,5,6,9,10,7,8,11,12,
68,3,4,5,6,7,9,11,12,1,2,8,10,
69,1,2,3,4,8,9,10,11,5,6,7,12,
70,1,3,4,7,8,9,10,12,2,5,6,11,
71,1,3,4,5,6,8,9,11,2,7,10,12,
72,1,2,3,7,8,9,10,11,4,5,6,12,
73,1,2,4,6,8,10,11,12,3,5,7,9,
74,1,2,3,4,5,7,9,12,6,8,10,11,
75,1,2,4,5,6,8,10,11,3,7,9,12,
76,1,2,5,7,8,9,10,12,3,4,6,11,
77,2,4,5,6,7,9,10,11,1,3,8,12,
78,2,3,5,6,9,10,11,12,1,4,7,8,
79,2,3,4,5,6,7,9,12,1,8,10,11,
80,1,3,4,5,6,7,8,9,2,10,11,12,
81,1,2,3,7,8,9,11,12,4,5,6,10,
82,2,3,4,5,7,8,10,12,1,6,9,11,
83,2,3,5,6,7,8,11,12,1,4,9,10,
84,1,2,3,7,8,9,10,11,4,5,6,12,
85,1,2,3,4,7,8,10,11,5,6,9,12,
86,1,2,3,4,7,9,11,12,5,6,8,10,
87,1,3,4,5,7,9,11,12,2,6,8,10,
88,1,2,3,4,5,7,9,12,6,8,10,11,
89,1,2,4,5,9,10,11,12,3,6,7,8,
90,1,2,5,6,7,9,10,12,3,4,8,11,
91,2,3,7,8,9,10,11,12,1,4,5,6,
92,2,3,6,7,8,9,11,12,1,4,5,10,
93,2,5,6,7,8,9,10,11,1,3,4,12,
94,2,4,5,7,9,10,11,12,1,3,6,8,
95,1,3,4,5,6,8,10,12,2,7,9,11,
96,2,3,6,7,8,9,10,11,1,4,5,12,
97,1,2,3,5,9,10,11,12,4,6,7,8,
98,1,2,3,6,7,9,11,12,4,5,8,10,
99,1,2,3,6,7,10,11,12,4,5,8,9,
100,1,3,4,6,7,8,11,12,2,5,9,10,
101,1,6,7,8,9,10,11,12,2,3,4,5,
102,1,2,4,7,8,10,11,12,3,5,6,9,
103,2,3,4,5,8,9,10,11,1,6,7,12,
104,1,2,5,6,7,8,9,12,3,4,10,11,
105,1,2,5,6,7,9,10,11,3,4,8,12,
106,1,2,6,7,9,10,11,12,3,4,5,8,
107,1,3,4,6,7,9,11,12,2,5,8,10,
108,1,2,3,4,7,9,10,11,5,6,8,12,
109,1,2,3,5,6,8,11,12,4,7,9,10,
110,2,3,5,6,7,8,9,11,1,4,10,12,
111,1,3,4,5,6,8,10,12,2,7,9,11,
112,1,2,3,6,7,8,9,11,4,5,10,12,
113,1,3,4,6,7,9,10,12,2,5,8,11,
114,3,6,7,8,9,10,11,12,1,2,4,5,
115,1,4,5,7,8,9,10,11,2,3,6,12,
116,1,3,4,5,6,10,11,12,2,7,8,9,
117,1,2,5,6,7,9,10,12,3,4,8,11,
118,1,2,3,4,7,8,11,12,5,6,9,10,
119,1,3,5,7,9,10,11,12,2,4,6,8,
120,2,3,6,8,9,10,11,12,1,4,5,7,
121,1,2,4,6,7,8,10,12,3,5,9,11,
122,3,4,5,6,7,10,11,12,1,2,8,9,
123,1,2,4,5,7,8,9,12,3,6,10,11,
124,1,2,4,6,7,8,11,12,3,5,9,10,
125,1,2,6,7,8,10,11,12,3,4,5,9,
126,1,4,5,6,7,9,10,11,2,3,8,12,
127,2,3,4,5,7,8,10,11,1,6,9,12,
128,1,2,5,6,8,9,10,11,3,4,7,12,
129,1,3,4,6,8,9,11,12,2,5,7,10,
